Category,Message
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 500)
ham,What time does the movie start tonight? (Ref: 924)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 760)"
ham,Let's catch up over coffee this weekend. (Ref: 897)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 157)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 203)
ham,What time does the movie start tonight? (Ref: 935)
ham,Did you see the latest news update regarding the project policy? (Ref: 407)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 8970
ham,Call me when you are free to discuss the budget allocation. (Ref: 835)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 9173
ham,Let's catch up over coffee this weekend. (Ref: 132)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 789)"
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 4741
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 8657
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 6468
ham,Don't forget to submit the assignment before midnight. (Ref: 573)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 1390
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 5243
ham,"Just checked the code changes, everything looks good to merge. (Ref: 951)"
ham,Could you pick up some groceries on your way back from work? (Ref: 912)
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 198)
ham,Don't forget to submit the assignment before midnight. (Ref: 168)
ham,Please find attached the receipt for your recent purchase. (Ref: 225)
ham,Don't forget to submit the assignment before midnight. (Ref: 928)
ham,Call me when you are free to discuss the budget allocation. (Ref: 738)
ham,Call me when you are free to discuss the budget allocation. (Ref: 798)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 3382
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 9502
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 7881
ham,Don't forget to submit the assignment before midnight. (Ref: 556)
ham,Can you please send me the updated project report when you get a chance? (Ref: 152)
ham,Did you see the latest news update regarding the project policy? (Ref: 814)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 833)"
ham,Could you pick up some groceries on your way back from work? (Ref: 466)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 787)"
ham,Call me when you are free to discuss the budget allocation. (Ref: 519)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 624)"
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 9684
ham,Let's catch up over coffee this weekend. (Ref: 287)
ham,Please find attached the receipt for your recent purchase. (Ref: 496)
ham,Don't forget to submit the assignment before midnight. (Ref: 506)
ham,Could you pick up some groceries on your way back from work? (Ref: 861)
spam,"Get loan up to $50,000 with 0% interest instantly! No credit check required. Reply APPLY Code: 4998"
ham,Don't forget to submit the assignment before midnight. (Ref: 146)
ham,Did you see the latest news update regarding the project policy? (Ref: 886)
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 9202
ham,Don't forget to submit the assignment before midnight. (Ref: 761)
ham,Let's catch up over coffee this weekend. (Ref: 507)
spam,FINAL NOTICE: Your bank account has been locked. Verify your credentials now at http://secure-bank-login.com Code: 2386
ham,Call me when you are free to discuss the budget allocation. (Ref: 102)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 9238
ham,Could you pick up some groceries on your way back from work? (Ref: 937)
ham,Don't forget to submit the assignment before midnight. (Ref: 127)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 786)"
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 266)
ham,What time does the movie start tonight? (Ref: 980)
ham,What time does the movie start tonight? (Ref: 408)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 401)"
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 7809
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 185)"
ham,Let's catch up over coffee this weekend. (Ref: 801)
ham,Let's catch up over coffee this weekend. (Ref: 781)
ham,Did you see the latest news update regarding the project policy? (Ref: 580)
ham,Thanks for your help with the presentation yesterday! (Ref: 449)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 295)"
ham,Don't forget to submit the assignment before midnight. (Ref: 104)
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 4004
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 518)"
ham,Please find attached the receipt for your recent purchase. (Ref: 633)
ham,Let's catch up over coffee this weekend. (Ref: 655)
ham,Could you pick up some groceries on your way back from work? (Ref: 773)
ham,Did you see the latest news update regarding the project policy? (Ref: 569)
ham,Did you see the latest news update regarding the project policy? (Ref: 408)
ham,Did you see the latest news update regarding the project policy? (Ref: 680)
ham,Please find attached the receipt for your recent purchase. (Ref: 984)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 236)"
ham,Let's catch up over coffee this weekend. (Ref: 608)
ham,Did you see the latest news update regarding the project policy? (Ref: 327)
ham,Don't forget to submit the assignment before midnight. (Ref: 122)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 138)"
ham,Let's catch up over coffee this weekend. (Ref: 747)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 758)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 162)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 995)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 177)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 6126
ham,What time does the movie start tonight? (Ref: 811)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 2205
ham,"Just checked the code changes, everything looks good to merge. (Ref: 655)"
ham,Call me when you are free to discuss the budget allocation. (Ref: 832)
ham,Please find attached the receipt for your recent purchase. (Ref: 831)
ham,Could you pick up some groceries on your way back from work? (Ref: 884)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 991)"
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 8776
ham,Call me when you are free to discuss the budget allocation. (Ref: 111)
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 7704
ham,"Just checked the code changes, everything looks good to merge. (Ref: 492)"
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 956)"
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 2622
ham,Could you pick up some groceries on your way back from work? (Ref: 401)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 762)
spam,"Get loan up to $50,000 with 0% interest instantly! No credit check required. Reply APPLY Code: 3736"
ham,Could you pick up some groceries on your way back from work? (Ref: 674)
ham,Please find attached the receipt for your recent purchase. (Ref: 358)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 876)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 449)
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 7183
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 671)
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 8832
ham,"Just checked the code changes, everything looks good to merge. (Ref: 142)"
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 6475
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 2435
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 9428
ham,Call me when you are free to discuss the budget allocation. (Ref: 866)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 242)"
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 211)"
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 6343
ham,Thanks for your help with the presentation yesterday! (Ref: 795)
ham,Call me when you are free to discuss the budget allocation. (Ref: 175)
